0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
2 ; 1 ; 15 ; 4 ; 4 ; 3 ; 200 ;
2 ; 1 ; 15 ; 4 ; 4 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
2 ; 1 ; 15 ; 4 ; 4 ; 3 ; 200 ;
2 ; 1 ; 15 ; 4 ; 4 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
2 ; 1 ; 15 ; 4 ; 4 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
2 ; 1 ; 15 ; 4 ; 4 ; 3 ; 200 ;
2 ; 1 ; 15 ; 4 ; 4 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
2 ; 1 ; 15 ; 4 ; 4 ; 3 ; 200 ;
2 ; 1 ; 15 ; 4 ; 4 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
0 ; 1 ; 200 ; 50 ; 2 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
1 ; 1 ; 25 ; 6 ; 1 ; 3 ; 200 ;
2 ; 1 ; 15 ; 4 ; 4 ; 3 ; 200 ;
0 ; 2 ; 204 ; 52 ; 2 ; 3 ; 50 ; 
0 ; 2 ; 204 ; 52 ; 2 ; 3 ; 50 ; 
1 ; 2 ; 35 ; 7 ; 1 ; 3 ; 50 ; 
1 ; 2 ; 35 ; 7 ; 1 ; 3 ; 50 ; 
2 ; 2 ; 22 ; 5 ; 4 ; 3 ; 50 ; 
2 ; 2 ; 22 ; 5 ; 4 ; 3 ; 50 ; 
0 ; 2 ; 204 ; 52 ; 2 ; 3 ; 50 ; 
0 ; 2 ; 204 ; 52 ; 2 ; 3 ; 50 ; 
1 ; 2 ; 35 ; 7 ; 1 ; 3 ; 50 ; 
2 ; 2 ; 22 ; 5 ; 4 ; 3 ; 50 ; 
0 ; 2 ; 204 ; 52 ; 2 ; 3 ; 50 ; 
0 ; 2 ; 204 ; 52 ; 2 ; 3 ; 50 ; 
1 ; 2 ; 35 ; 7 ; 1 ; 3 ; 50 ; 
1 ; 2 ; 35 ; 7 ; 1 ; 3 ; 50 ; 
2 ; 2 ; 22 ; 5 ; 4 ; 3 ; 50 ; 
0 ; 2 ; 204 ; 52 ; 2 ; 3 ; 50 ; 
0 ; 2 ; 204 ; 52 ; 2 ; 3 ; 50 ; 
1 ; 2 ; 35 ; 7 ; 1 ; 3 ; 50 ; 
